,,,,,,,,,
,,,,,Shemhazai,,,,
,,,,,Accessories 10,,,,
,,,,Accessories 4,Quickening 4,Numerology,,,
,,Astrologer Magick 6,Channeling 2,Serenity,Staves 3,Staves 2,Charge,Astrologer Magick 1,ALIGN_TOP
,,,Astrologer Magick 5,Staves 4,Shades of Black,Channeling 1,Astrologer Magick 2,,
,,,,Astrologer Magick 4,Magick Lore 1,Astrologer Magick 3,,,
,,,,Exodus,Revive,Zalera,,,
,,,Accessories 6,Mystic Armor 5,Mystic Armor 4,Expose,Mystic Armor 3,,
,,Mystic Armor 6,Ether Lore 2,Measures 3,Horology,Measures 2,Ether Lore 1,Mystic Armor 2,
,,Accessories 8,,,,,,Measures 1,
,,,,,,,,,
,,,,,,,,,ALIGN_BOTTOM
