,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,Charge,Ether Lore 1,Enchanter Magick 1,ALIGN_TOP
,,,,,Revive,Channeling 1,Enchanter Magick 2,Mystic Armor 2,
,,,Exodus,Zalera,Enchanter Magick 4,Mystic Armor 3,Phoenix Lore 1,Measures 1,
,Enchanter Magick 7,Channeling 2,Mystic Armor 4,Enchanter Magick 3,Magick Lore 1,Rods 2,,,
,,Accessories 10,Rods 3,Wither,Accessories 4,Shemhazai,,,
,,,Enchanter Magick 6,Measures 2,Addle,,,,
,,,,Ether Lore 2,Serenity,,,,
,,,Measures 3,Quickening 4,Accessories 6,,,,
,,,,Phoenix Lore 2,Accessories 8,,,,ALIGN_BOTTOM
,,,,Enchanter Magick 5,Piercing Magick,,,,
