,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Charm,,,,
,,,,Mystic Armor 6,Spellbreaker,Accessories 4,,,ALIGN_TOP
,,,Shaman Magick 4,Serenity,Expose,Ether Lore 1,Headsman,,
,,Accessories 8,Remedy Lore 3,,Warmage,Shemhazai,Potion Lore 1,Shaman Magick 1,
,,Shaman Magick 5,Quickening 4,Mystic Armor 4,Wither,Mystic Armor 3,Shaman Magick 2,Mystic Armor 2,
,,HP Lore 5,Exodus,Ether Lore 2,Shaman Magick 3,Remedy Lore 2,Zalera,Remedy Lore 1,
,,,Mystic Armor 5,Channeling 2,Potion Lore 2,Addle,Channeling 1,,
,,,,Battle Lore 2,Accessories 6,HP Lore 3,,,
,,,,,Accessories 10,,,,
,,,,,,,,,ALIGN_BOTTOM
