,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Channeling 2,Remedy Lore 3,,,
,,,,,,Infuse,Accessories 4,,ALIGN_TOP
,,,,,,Shemhazai,Charge,Remedy Lore 1,
,,,,Maces 4,,,Maces 2,Phoenix Lore 1,
,,,White Magick 6,Mystic Armor 6,Magick Lore 4,Quickening 4,Remedy Lore 2,Ether Lore 1,
,,,,Measures 3,,,Measures 1,Mystic Armor 2,
,,,,Zalera,,,Potion Lore 1,White Magick 1,
,,White Magick 4,Ether Lore 2,Exodus,,Mystic Armor 3,Channeling 1,,
,,Piercing Magick,Mystic Armor 5,Maces 3,Mystic Armor 4,Serenity,White Magick 2,,
,,,Measures 2,Potion Lore 2,Magick Lore 1,White Magick 3,Accessories 6,,ALIGN_BOTTOM
,,,,Phoenix Lore 2,Accessories 8,,,,
,,,,White Magick 5,Accessories 10,,,,
