,,,,,,,
,,,,,,,
ALIGN_TOP,,,,,,,
,Inquisitor,Shield Block 1,Heavy Armor 4,,Accessories 7,,
,Axes & Hammers 1,Adrammelech,Battle Lore 1,Quickening 3,Adrenaline,Swiftness 2,
,Heavy Armor 2,Axes & Hammers 2,Heavy Armor 3,Zeromus,Heavy Armor 5,Battle Lore 3,
,,Swiftness 1,,,HP Lore 4,Genji Armor,
,,Magick Lore 2,,Accessories 5,Ignore Evasion,,
,,Shear,Sentinel,Axes & Hammers 3,,,
,Spellbound,Shields 2,Last Stand,Shields 3,Cúchulainn,HP Lore 6,
ALIGN_BOTTOM,,Accessories 3,,Shield Block 2,Safety,Shields 4,Accessories 9
,,,,,Axes & Hammers 4,Battle Lore 4,Alert
,,,,,,Shields 5,
