,,,,,,,,,
,,,,,,,,,
ALIGN_TOP,Accessories 3,,,,,,,Daggers 4,
,Light Armor 2,Magick Deprived,,,Bows 5,,Zeromus,Shields 5,Axes & Hammers 4
,,Light Armor 3,HP Lore 2,Adrammelech,Crossbows 3,Light Armor 5,Light Armor 6,Swords 5,
,,,Shields 2,Last Stand,Light Armor 4,Shields 4,Ninja Swords 3,,
,,,,Accessories 7,Shields 3,Accessories 9,,,
,,,,Battle Lore 1,Quickening 3,HP Lore 6,,,
,,,Battle Lore 4,HP Lore 4,Focus,Heavy Armor 5,Poles 4,,
,Heavy Armor 2,Magick Deprived,Heavy Armor 3,Adrenaline,Heavy Armor 4,Cúchulainn,Battle Lore 3,Katana 4,
ALIGN_BOTTOM,Accessories 5,,,,Hand-bombs 2,,,Genji Armor,Greatswords 3
,,,,,Guns 4,,,Spears 4,
